,user id,movie id,rating,timestamp
0,0,50,5,1970-01-01
1,0,172,5,1970-01-01
2,0,133,1,1970-01-01
3,196,242,3,1970-01-01
4,186,302,3,1970-01-01
5,22,377,1,1970-01-01
6,244,51,2,1970-01-01
7,166,346,1,1970-01-01
8,298,474,4,1970-01-01
9,115,265,2,1970-01-01
10,253,465,5,1970-01-01
11,305,451,3,1970-01-01
12,6,86,3,1970-01-01
13,62,257,2,1970-01-01
14,286,1014,5,1970-01-01
15,200,222,5,1970-01-01
16,210,40,3,1970-01-01
17,224,29,3,1970-01-01
18,303,785,3,1970-01-01
19,122,387,5,1970-01-01
20,194,274,2,1970-01-01
21,291,1042,4,1970-01-01
22,234,1184,2,1970-01-01
23,119,392,4,1970-01-01
24,167,486,4,1970-01-01
25,299,144,4,1970-01-01
26,291,118,2,1970-01-01
27,308,1,4,1970-01-01
28,95,546,2,1970-01-01
29,38,95,5,1970-01-01
30,102,768,2,1970-01-01
31,63,277,4,1970-01-01
32,160,234,5,1970-01-01
33,50,246,3,1970-01-01
34,301,98,4,1970-01-01
35,225,193,4,1970-01-01
36,290,88,4,1970-01-01
37,97,194,3,1970-01-01
38,157,274,4,1970-01-01
39,181,1081,1,1970-01-01
40,278,603,5,1970-01-01
41,276,796,1,1970-01-01
42,7,32,4,1970-01-01
43,10,16,4,1970-01-01
44,284,304,4,1970-01-01
45,201,979,2,1970-01-01
46,276,564,3,1970-01-01
47,287,327,5,1970-01-01
48,246,201,5,1970-01-01
49,242,1137,5,1970-01-01
50,249,241,5,1970-01-01
51,99,4,5,1970-01-01
52,178,332,3,1970-01-01
53,251,100,4,1970-01-01
54,81,432,2,1970-01-01
55,260,322,4,1970-01-01
56,25,181,5,1970-01-01
57,59,196,5,1970-01-01
58,72,679,2,1970-01-01
59,87,384,4,1970-01-01
60,290,143,5,1970-01-01
61,42,423,5,1970-01-01
62,292,515,4,1970-01-01
63,115,20,3,1970-01-01
64,20,288,1,1970-01-01
65,201,219,4,1970-01-01
66,13,526,3,1970-01-01
67,246,919,4,1970-01-01
68,138,26,5,1970-01-01
69,167,232,1,1970-01-01
70,60,427,5,1970-01-01
71,57,304,5,1970-01-01
72,223,274,4,1970-01-01
73,189,512,4,1970-01-01
74,243,15,3,1970-01-01
75,92,1049,1,1970-01-01
76,246,416,3,1970-01-01
77,194,165,4,1970-01-01
78,241,690,2,1970-01-01
79,178,248,4,1970-01-01
80,254,1444,3,1970-01-01
81,293,5,3,1970-01-01
82,127,229,5,1970-01-01
83,225,237,5,1970-01-01
84,299,229,3,1970-01-01
85,225,480,5,1970-01-01
86,276,54,3,1970-01-01
87,291,144,5,1970-01-01
88,222,366,4,1970-01-01
89,267,518,5,1970-01-01
90,42,403,3,1970-01-01
91,11,111,4,1970-01-01
92,95,625,4,1970-01-01
93,8,338,4,1970-01-01
94,162,25,4,1970-01-01
95,87,1016,4,1970-01-01
96,279,154,5,1970-01-01
97,145,275,2,1970-01-01
98,119,1153,5,1970-01-01
99,62,498,4,1970-01-01
100,62,382,3,1970-01-01
101,28,209,4,1970-01-01
102,135,23,4,1970-01-01
103,32,294,3,1970-01-01
104,90,382,5,1970-01-01
105,286,208,4,1970-01-01
106,293,685,3,1970-01-01
107,216,144,4,1970-01-01
108,166,328,5,1970-01-01
109,250,496,4,1970-01-01
110,271,132,5,1970-01-01
111,160,174,5,1970-01-01
112,265,118,4,1970-01-01
113,198,498,3,1970-01-01
114,42,96,5,1970-01-01
115,168,151,5,1970-01-01
116,110,307,4,1970-01-01
117,58,144,4,1970-01-01
118,90,648,4,1970-01-01
