,user id,rating,movie title
0,0.0,5.0,Legends of the Fall (1994)
1,0.0,5.0,"Princess Bride, The (1987)"
2,0.0,1.0,Citizen Kane (1941)
3,196.0,3.0,Jungle2Jungle (1997)
4,186.0,3.0,Ulee's Gold (1997)
5,22.0,1.0,Miracle on 34th Street (1994)
6,244.0,2.0,"Madness of King George, The (1994)"
7,166.0,1.0,Wag the Dog (1997)
8,298.0,4.0,Trainspotting (1996)
9,115.0,2.0,Kull the Conqueror (1997)
10,253.0,5.0,Red Rock West (1992)
11,305.0,3.0,Jaws 2 (1978)
12,6.0,3.0,Searching for Bobby Fischer (1993)
13,62.0,2.0,Contact (1997)
14,286.0,5.0,Shiloh (1997)
15,200.0,5.0,Sling Blade (1996)
16,210.0,3.0,Billy Madison (1995)
17,224.0,3.0,Belle de jour (1967)
18,303.0,3.0,"Perez Family, The (1995)"
19,122.0,5.0,Beverly Hills Cop III (1994)
20,194.0,2.0,Sense and Sensibility (1995)
21,291.0,4.0,Rent-a-Kid (1995)
22,234.0,2.0,In the Army Now (1994)
23,119.0,4.0,Mrs. Doubtfire (1993)
24,167.0,4.0,Roman Holiday (1953)
25,299.0,4.0,"Lawnmower Man, The (1992)"
26,291.0,2.0,Maya Lin: A Strong Clear Vision (1994)
27,308.0,4.0,GoldenEye (1995)
28,95.0,2.0,"Young Poisoner's Handbook, The (1995)"
29,38.0,5.0,Terminator 2: Judgment Day (1991)
30,102.0,2.0,Congo (1995)
31,63.0,4.0,Bed of Roses (1996)
32,160.0,5.0,Mars Attacks! (1996)
33,50.0,3.0,Turbo: A Power Rangers Movie (1997)
34,301.0,4.0,Snow White and the Seven Dwarfs (1937)
35,225.0,4.0,"Sting, The (1973)"
36,290.0,4.0,Blade Runner (1982)
37,97.0,3.0,"Terminator, The (1984)"
38,157.0,4.0,Sense and Sensibility (1995)
39,181.0,1.0,Female Perversions (1996)
40,278.0,5.0,It Happened One Night (1934)
41,276.0,1.0,Timecop (1994)
42,7.0,4.0,Desperado (1995)
43,10.0,4.0,From Dusk Till Dawn (1996)
44,284.0,4.0,"Ice Storm, The (1997)"
45,201.0,2.0,Mother Night (1996)
46,276.0,3.0,Village of the Damned (1995)
47,287.0,5.0,Conspiracy Theory (1997)
48,246.0,5.0,Groundhog Day (1993)
49,242.0,5.0,Best Men (1997)
50,249.0,5.0,Kolya (1996)
51,99.0,5.0,Copycat (1995)
52,178.0,3.0,"Game, The (1997)"
53,251.0,4.0,Heavy Metal (1981)
54,81.0,2.0,Heathers (1989)
55,260.0,4.0,Dante's Peak (1997)
